Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Region,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Previous Purchases,Payment Method,Frequency of Purchases, Frequency Per Year
40,70,Male,Pants,Clothing,60,Arizona,West,S,Turquoise,Summer,4.2,Yes,Express,18,Credit Card,Monthly,12
41,69,Male,Handbag,Accessories,76,Louisiana,South,L,Beige,Winter,4.6,Yes,Next Day Air,31,Debit Card,Quarterly,4
42,67,Male,Scarf,Accessories,39,Alaska,West,M,Orange,Spring,4.5,Yes,Standard,40,Venmo,Annually,1
43,20,Male,Coat,Outerwear,100,Tennessee,South,M,Beige,Spring,4.1,Yes,Free Shipping,15,PayPal,Annually,1
44,25,Male,Scarf,Accessories,69,Ohio,Midwest,L,Lavender,Fall,3.7,Yes,Store Pickup,19,PayPal,Fortnightly,26
45,39,Male,Hat,Accessories,53,Kentucky,South,S,Silver,Summer,4.6,Yes,Free Shipping,45,PayPal,Weekly,52
46,50,Male,Socks,Clothing,21,Tennessee,South,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,25,PayPal,Annually,1
47,57,Male,Shirt,Clothing,43,California,West,L,White,Summer,2.9,Yes,Store Pickup,45,Cash,Quarterly,4
48,55,Male,Jewelry,Accessories,54,Montana,West,M,Charcoal,Winter,4.5,Yes,Free Shipping,36,Cash,Weekly,52
49,42,Male,Shirt,Clothing,55,Nevada,West,M,Orange,Summer,2.7,Yes,Store Pickup,38,Cash,Monthly,12
50,68,Male,Hoodie,Clothing,30,New Jersey,Northeast,S,Indigo,Spring,4.6,Yes,Next Day Air,34,Debit Card,Bi-Weekly,104
51,49,Male,Blouse,Clothing,28,Maryland,South,M,Red,Spring,3.7,Yes,Store Pickup,39,Debit Card,Bi-Weekly,104
52,59,Male,Skirt,Clothing,59,Vermont,Northeast,XL,Gray,Winter,4.7,Yes,2-Day Shipping,7,Credit Card,Quarterly,4
53,42,Male,T-shirt,Clothing,20,Alaska,West,M,Green,Summer,2.6,Yes,Free Shipping,26,Credit Card,Weekly,52
54,29,Male,Skirt,Clothing,24,Mississippi,South,S,Peach,Winter,3.9,Yes,Next Day Air,35,Credit Card,Weekly,52
55,47,Male,Coat,Outerwear,94,New Mexico,West,M,Brown,Summer,4.2,Yes,Next Day Air,35,Debit Card,Bi-Weekly,104
56,40,Male,Jacket,Outerwear,28,South Carolina,South,M,Lavender,Winter,3,Yes,2-Day Shipping,49,Credit Card,Annually,1
57,41,Male,Backpack,Accessories,73,Mississippi,South,XL,Brown,Summer,4.7,Yes,Store Pickup,46,Credit Card,Weekly,52
58,21,Male,Coat,Outerwear,64,West Virginia,South,M,White,Summer,4.4,Yes,Store Pickup,17,Debit Card,Fortnightly,26
59,69,Male,Hoodie,Clothing,54,Missouri,Midwest,M,Charcoal,Summer,4.2,Yes,Free Shipping,29,Venmo,Monthly,12
60,63,Male,Belt,Accessories,79,Louisiana,South,L,Yellow,Spring,4.6,Yes,Standard,4,Debit Card,Weekly,52
61,50,Male,Sweater,Clothing,37,Idaho,West,L,Brown,Summer,4,Yes,Express,17,Cash,Weekly,52
62,55,Male,Scarf,Accessories,68,Texas,South,M,Orange,Winter,4.7,Yes,Store Pickup,21,Credit Card,Quarterly,4
63,30,Male,Sneakers,Footwear,21,Mississippi,South,S,Magenta,Spring,3.8,Yes,Free Shipping,31,Credit Card,Fortnightly,26
64,33,Male,Sunglasses,Accessories,79,Arizona,West,L,Lavender,Winter,2.7,Yes,2-Day Shipping,43,Credit Card,Weekly,52
65,65,Male,Boots,Footwear,83,Alabama,South,S,Green,Fall,4.8,Yes,Standard,18,Debit Card,Fortnightly,26
66,65,Male,Backpack,Accessories,36,New Jersey,Northeast,M,Purple,Spring,4.8,Yes,2-Day Shipping,44,Venmo,Quarterly,4
67,31,Male,Blouse,Clothing,94,Pennsylvania,Northeast,S,Magenta,Winter,4.7,Yes,2-Day Shipping,3,Venmo,Quarterly,4
68,45,Male,Coat,Outerwear,33,Connecticut,Northeast,L,Gray,Winter,4.4,Yes,Store Pickup,49,Debit Card,Monthly,12
69,57,Male,Handbag,Accessories,46,Utah,West,L,Silver,Summer,3.9,Yes,Next Day Air,21,Cash,Quarterly,4
70,48,Male,Belt,Accessories,70,Tennessee,South,S,Cyan,Summer,4.4,Yes,Express,5,Cash,Weekly,52
71,22,Male,Belt,Accessories,29,Alabama,South,M,Magenta,Fall,4.2,Yes,Express,32,Debit Card,Quarterly,4
72,36,Male,Dress,Clothing,48,Virginia,South,L,Gold,Summer,2.9,Yes,Express,34,Bank Transfer,Annually,1
73,18,Male,Dress,Clothing,26,Georgia,South,M,Olive,Winter,2.9,Yes,Store Pickup,21,Bank Transfer,Quarterly,4
74,48,Male,Pants,Clothing,85,Hawaii,West,M,Teal,Spring,2.7,Yes,Free Shipping,43,Bank Transfer,Bi-Weekly,104
75,49,Male,Gloves,Accessories,58,Indiana,Midwest,L,Violet,Spring,4.5,Yes,Express,3,Cash,Monthly,12
76,64,Male,Scarf,Accessories,85,Utah,West,M,Blue,Summer,2.7,Yes,Free Shipping,21,Credit Card,Annually,1
77,50,Male,Hat,Accessories,43,Delaware,South,S,Teal,Summer,4.2,Yes,Free Shipping,32,Venmo,Monthly,12
78,22,Male,Dress,Clothing,53,Delaware,South,L,Gold,Summer,3.3,Yes,Next Day Air,36,Debit Card,Fortnightly,26
79,50,Male,Skirt,Clothing,91,Nebraska,Midwest,M,Maroon,Spring,4.7,Yes,Free Shipping,50,Venmo,Fortnightly,26
80,38,Male,Jacket,Outerwear,96,Iowa,Midwest,M,Olive,Winter,2.6,Yes,2-Day Shipping,43,Bank Transfer,Quarterly,4
81,19,Male,Sandals,Footwear,72,New York,Northeast,XL,Blue,Summer,3.3,Yes,Store Pickup,24,Credit Card,Quarterly,4
82,67,Male,Shoes,Footwear,96,Virginia,South,L,Maroon,Summer,2.6,Yes,Express,36,Credit Card,Quarterly,4
83,19,Male,Pants,Clothing,28,Georgia,South,S,Olive,Spring,4,Yes,2-Day Shipping,21,Credit Card,Quarterly,4
84,36,Male,Dress,Clothing,40,Texas,South,M,Turquoise,Summer,4.1,Yes,Standard,34,Bank Transfer,Weekly,52
85,52,Male,Coat,Outerwear,32,Arizona,West,S,Peach,Spring,4.4,Yes,Standard,42,Bank Transfer,Quarterly,4
86,53,Male,Sunglasses,Accessories,95,New Mexico,West,M,Charcoal,Winter,4.5,Yes,Next Day Air,2,Debit Card,Bi-Weekly,104
87,24,Male,Hoodie,Clothing,41,Nevada,West,L,Pink,Spring,3.7,Yes,2-Day Shipping,47,Cash,Bi-Weekly,104
88,52,Male,Shoes,Footwear,53,Ohio,Midwest,M,Green,Fall,3.7,Yes,2-Day Shipping,44,Debit Card,Fortnightly,26
89,33,Male,T-shirt,Clothing,47,Wyoming,West,M,Orange,Fall,3.5,Yes,Free Shipping,35,Credit Card,Monthly,12
90,47,Male,Jacket,Outerwear,83,California,West,XL,Pink,Fall,3.6,Yes,Next Day Air,15,Cash,Quarterly,4
91,25,Male,Hat,Accessories,48,South Carolina,South,L,Violet,Summer,2.9,Yes,Express,29,Credit Card,Monthly,12
92,44,Male,Scarf,Accessories,99,South Carolina,South,S,Green,Winter,4.6,Yes,Standard,18,Credit Card,Quarterly,4
93,61,Male,Jacket,Outerwear,87,Texas,South,M,Olive,Winter,4.4,Yes,2-Day Shipping,13,Venmo,Quarterly,4
94,37,Male,Sweater,Clothing,62,Florida,South,M,Purple,Fall,4.5,Yes,Standard,46,Credit Card,Weekly,52
95,58,Male,Skirt,Clothing,76,Nevada,West,S,Silver,Spring,4.6,Yes,Free Shipping,28,Credit Card,Weekly,52
96,37,Male,Sneakers,Footwear,100,Missouri,Midwest,L,Pink,Fall,3.8,Yes,Free Shipping,48,PayPal,Monthly,12
97,32,Male,Gloves,Accessories,73,Delaware,South,S,Gold,Spring,3.6,Yes,Express,43,Venmo,Quarterly,4
98,21,Male,Shoes,Footwear,92,Virginia,South,M,Teal,Winter,4.8,Yes,Store Pickup,37,Cash,Annually,1
99,20,Male,Jeans,Clothing,67,New York,Northeast,XL,Teal,Spring,2.6,Yes,Next Day Air,20,Bank Transfer,Annually,1
100,26,Male,Hoodie,Clothing,40,Missouri,Midwest,XL,Indigo,Summer,3.7,Yes,Express,33,Debit Card,Quarterly,4
101,62,Male,Sunglasses,Accessories,98,South Dakota,Midwest,M,Maroon,Fall,2.7,Yes,Express,31,Cash,Fortnightly,26
102,27,Male,Coat,Outerwear,85,North Dakota,Midwest,XL,White,Spring,4.6,Yes,Express,50,Credit Card,Bi-Weekly,104
103,51,Male,Socks,Clothing,67,Oklahoma,South,L,Violet,Winter,4.8,Yes,Next Day Air,35,Credit Card,Quarterly,4
104,54,Male,Boots,Footwear,89,West Virginia,South,L,Red,Winter,4,Yes,Next Day Air,22,Venmo,Bi-Weekly,104
105,55,Male,Sunglasses,Accessories,24,New Hampshire,Northeast,L,Pink,Spring,4.4,Yes,2-Day Shipping,1,PayPal,Monthly,12
106,69,Male,Backpack,Accessories,96,New York,Northeast,M,Charcoal,Fall,3.6,Yes,Next Day Air,4,Bank Transfer,Annually,1
107,64,Male,Jacket,Outerwear,35,Minnesota,Midwest,L,White,Summer,3.7,Yes,Standard,31,Credit Card,Monthly,12
108,28,Male,Sneakers,Footwear,67,Maryland,South,L,Olive,Winter,3.1,Yes,Next Day Air,46,PayPal,Fortnightly,26
109,70,Male,Socks,Clothing,79,Montana,West,L,Purple,Spring,3.4,Yes,Next Day Air,32,Bank Transfer,Bi-Weekly,104
110,58,Male,T-shirt,Clothing,85,Alabama,South,M,Violet,Spring,2.6,Yes,Next Day Air,43,Bank Transfer,Fortnightly,26
111,56,Male,Backpack,Accessories,26,New York,Northeast,M,Black,Summer,4,Yes,Standard,26,Venmo,Fortnightly,26
112,26,Male,Belt,Accessories,75,Massachusetts,Northeast,L,Purple,Summer,5,Yes,Free Shipping,9,Credit Card,Annually,1
113,37,Male,Gloves,Accessories,65,Florida,South,M,Red,Spring,4.3,Yes,Free Shipping,28,PayPal,Bi-Weekly,104
114,44,Male,Hat,Accessories,54,New Jersey,Northeast,L,Maroon,Winter,3.1,Yes,Next Day Air,20,PayPal,Quarterly,4
115,70,Male,Coat,Outerwear,95,Massachusetts,Northeast,S,Blue,Summer,3.7,Yes,Store Pickup,9,Cash,Weekly,52
116,53,Male,Skirt,Clothing,94,Wyoming,West,M,Gray,Spring,3.8,Yes,Standard,48,Debit Card,Quarterly,4
117,55,Male,Shoes,Footwear,86,Virginia,South,S,Blue,Spring,3.4,Yes,Free Shipping,12,Venmo,Annually,1
118,50,Male,Sandals,Footwear,32,South Dakota,Midwest,L,Yellow,Summer,4.6,Yes,Express,29,Cash,Fortnightly,26
119,50,Male,Sweater,Clothing,45,Kentucky,South,L,Orange,Fall,4.8,Yes,2-Day Shipping,27,Cash,Bi-Weekly,104
120,38,Male,Coat,Outerwear,76,Wyoming,West,M,Orange,Fall,4.3,Yes,Express,44,Cash,Annually,1
121,64,Male,Hat,Accessories,84,West Virginia,South,L,Red,Summer,4,Yes,Express,32,Bank Transfer,Annually,1
122,19,Male,Shorts,Clothing,72,Virginia,South,M,Olive,Winter,4.2,Yes,Standard,11,Cash,Fortnightly,26
123,40,Male,Backpack,Accessories,40,Washington,West,L,Brown,Spring,4.8,Yes,2-Day Shipping,44,Cash,Fortnightly,26
124,57,Male,Sweater,Clothing,89,Louisiana,South,L,Brown,Fall,3.1,Yes,Free Shipping,46,Cash,Weekly,52
125,44,Male,Sweater,Clothing,86,Nevada,West,M,Gray,Spring,3.1,Yes,Next Day Air,50,PayPal,Annually,1
126,49,Male,Shorts,Clothing,54,California,West,M,Indigo,Winter,3.6,Yes,Next Day Air,45,Venmo,Quarterly,4
127,43,Male,Shorts,Clothing,36,Mississippi,South,L,Pink,Spring,3.9,Yes,Store Pickup,48,Cash,Quarterly,4
128,24,Male,Sweater,Clothing,89,Mississippi,South,M,Gray,Winter,4.8,Yes,Next Day Air,26,Credit Card,Weekly,52
129,20,Male,Scarf,Accessories,32,California,West,M,Gold,Spring,4.7,Yes,Standard,21,Credit Card,Fortnightly,26
130,24,Male,Dress,Clothing,67,Pennsylvania,Northeast,XL,Olive,Summer,4.2,Yes,2-Day Shipping,49,PayPal,Bi-Weekly,104
131,44,Male,Scarf,Accessories,39,Kentucky,South,L,Violet,Fall,3.7,Yes,Next Day Air,13,PayPal,Fortnightly,26
132,28,Male,Skirt,Clothing,29,Maine,Northeast,L,Indigo,Summer,3.9,Yes,Standard,46,Credit Card,Weekly,52
133,30,Male,Backpack,Accessories,58,New Mexico,West,M,Orange,Fall,4.7,Yes,2-Day Shipping,42,PayPal,Weekly,52
134,52,Male,Sweater,Clothing,65,Montana,West,M,Violet,Winter,2.5,Yes,Next Day Air,25,Venmo,Annually,1
135,43,Male,Hat,Accessories,94,Texas,South,L,Gray,Fall,4.9,Yes,Store Pickup,25,Cash,Monthly,12
136,43,Male,Sandals,Footwear,81,Kansas,Midwest,M,Purple,Fall,4.1,Yes,Express,12,PayPal,Quarterly,4
137,39,Male,Blouse,Clothing,86,South Carolina,South,M,White,Winter,3.3,Yes,Free Shipping,4,Debit Card,Quarterly,4
138,68,Male,Sneakers,Footwear,43,Colorado,West,M,Turquoise,Spring,4.7,Yes,Free Shipping,38,PayPal,Weekly,52
139,68,Male,Skirt,Clothing,29,Georgia,South,M,Maroon,Winter,4.4,Yes,Store Pickup,42,Bank Transfer,Weekly,52
140,49,Male,Coat,Outerwear,95,Florida,South,M,White,Fall,3.8,Yes,Store Pickup,30,Venmo,Annually,1
141,63,Male,Shirt,Clothing,28,North Carolina,South,L,Yellow,Fall,3.9,Yes,2-Day Shipping,50,Credit Card,Weekly,52
142,56,Male,Gloves,Accessories,46,Virginia,South,M,Turquoise,Fall,4.9,Yes,Free Shipping,45,PayPal,Weekly,52
143,37,Male,Jacket,Outerwear,58,Nebraska,Midwest,L,Violet,Fall,3.1,Yes,Free Shipping,33,Credit Card,Fortnightly,26
144,30,Male,Coat,Outerwear,48,Missouri,Midwest,M,Beige,Fall,2.7,Yes,Store Pickup,25,PayPal,Quarterly,4
145,19,Male,Shoes,Footwear,43,New Jersey,Northeast,M,Silver,Fall,3.2,Yes,Express,25,Cash,Monthly,12
146,24,Male,Jewelry,Accessories,95,Missouri,Midwest,M,Teal,Fall,4.5,Yes,Standard,44,Debit Card,Quarterly,4
147,52,Male,Skirt,Clothing,30,Colorado,West,S,Black,Fall,4,Yes,Standard,21,Venmo,Fortnightly,26
148,63,Male,Shoes,Footwear,64,Idaho,West,M,Purple,Summer,3.5,Yes,2-Day Shipping,31,Bank Transfer,Fortnightly,26
149,37,Male,Gloves,Accessories,90,Wyoming,West,M,Gray,Fall,2.6,Yes,Store Pickup,47,Debit Card,Annually,1
150,38,Male,Pants,Clothing,76,Delaware,South,M,White,Summer,3.2,Yes,Free Shipping,14,PayPal,Monthly,12
151,35,Male,Boots,Footwear,96,California,West,L,Cyan,Fall,4.9,Yes,Standard,17,Debit Card,Quarterly,4
152,28,Male,Sunglasses,Accessories,47,North Dakota,Midwest,L,Turquoise,Fall,4.5,Yes,Next Day Air,3,Venmo,Annually,1
153,30,Male,Shirt,Clothing,85,South Carolina,South,S,Brown,Summer,4.3,Yes,Express,42,Venmo,Annually,1
154,69,Male,Hoodie,Clothing,55,North Carolina,South,M,Maroon,Winter,3.2,Yes,Standard,22,Debit Card,Annually,1
155,41,Male,Dress,Clothing,98,Oklahoma,South,M,Charcoal,Fall,3.6,Yes,Next Day Air,21,Venmo,Quarterly,4
156,63,Male,Socks,Clothing,77,Maine,Northeast,S,Olive,Spring,4.3,Yes,Free Shipping,21,Bank Transfer,Quarterly,4
157,35,Male,Shorts,Clothing,26,Missouri,Midwest,M,Lavender,Fall,4,Yes,Standard,40,Debit Card,Annually,1
158,36,Male,Hat,Accessories,68,Vermont,Northeast,S,Yellow,Fall,3,Yes,Next Day Air,1,Bank Transfer,Fortnightly,26
159,25,Male,Shirt,Clothing,73,Connecticut,Northeast,XL,Teal,Fall,4.1,Yes,Standard,50,Bank Transfer,Monthly,12
160,58,Male,Gloves,Accessories,27,New Hampshire,Northeast,M,Charcoal,Fall,3.8,Yes,Store Pickup,39,Bank Transfer,Quarterly,4
161,27,Male,Gloves,Accessories,23,Texas,South,M,Orange,Summer,4.6,Yes,Free Shipping,34,Venmo,Monthly,12
162,65,Male,Backpack,Accessories,49,North Dakota,Midwest,M,Olive,Fall,3,Yes,Express,29,Venmo,Fortnightly,26
163,54,Male,Sunglasses,Accessories,74,California,West,M,Turquoise,Summer,3,Yes,Store Pickup,31,PayPal,Bi-Weekly,104
164,54,Male,Skirt,Clothing,67,Virginia,South,M,Purple,Summer,3.4,Yes,Standard,8,Debit Card,Weekly,52
165,59,Male,Handbag,Accessories,65,Delaware,South,S,Purple,Spring,2.6,Yes,Free Shipping,5,Credit Card,Fortnightly,26
166,42,Male,Handbag,Accessories,60,Kentucky,South,S,Yellow,Winter,2.8,Yes,Store Pickup,7,Cash,Monthly,12
167,46,Male,Sneakers,Footwear,31,Delaware,South,XL,Indigo,Fall,4,Yes,Store Pickup,30,Cash,Monthly,12
168,33,Male,Gloves,Accessories,27,Arkansas,South,M,Green,Fall,4,Yes,Express,14,Credit Card,Quarterly,4
169,34,Male,Shoes,Footwear,80,Louisiana,South,M,Magenta,Summer,3,Yes,Express,5,Cash,Fortnightly,26
170,27,Male,Jacket,Outerwear,30,Nevada,West,S,Gold,Summer,3.3,Yes,Standard,3,PayPal,Quarterly,4
171,52,Male,Shirt,Clothing,25,Wyoming,West,M,Maroon,Fall,2.6,Yes,Store Pickup,46,Venmo,Bi-Weekly,104
172,29,Male,Shorts,Clothing,35,Virginia,South,M,Blue,Summer,3.6,Yes,Store Pickup,4,Credit Card,Weekly,52
173,54,Male,Jewelry,Accessories,67,Nebraska,Midwest,M,Violet,Summer,3.9,Yes,Next Day Air,42,Credit Card,Bi-Weekly,104
174,25,Male,Hat,Accessories,46,Hawaii,West,M,Turquoise,Fall,3.4,Yes,Standard,30,Cash,Annually,1
175,41,Male,Shoes,Footwear,35,Vermont,Northeast,L,Brown,Winter,3.5,Yes,Express,37,Venmo,Annually,1
176,53,Male,Coat,Outerwear,86,Oklahoma,South,L,Violet,Fall,2.8,Yes,Next Day Air,2,Bank Transfer,Annually,1
177,53,Male,Backpack,Accessories,81,New Hampshire,Northeast,L,Black,Spring,2.7,Yes,Next Day Air,30,Credit Card,Quarterly,4
178,21,Male,Hoodie,Clothing,42,Kansas,Midwest,L,Magenta,Fall,3.7,Yes,Next Day Air,47,Bank Transfer,Monthly,12
179,61,Male,Skirt,Clothing,43,Idaho,West,L,Lavender,Fall,4.3,Yes,2-Day Shipping,21,PayPal,Quarterly,4
180,64,Male,Boots,Footwear,31,Illinois,Midwest,M,Violet,Fall,4.9,Yes,Store Pickup,9,Bank Transfer,Fortnightly,26
181,51,Male,Sandals,Footwear,81,South Dakota,Midwest,L,Green,Fall,3.3,Yes,Store Pickup,12,Debit Card,Fortnightly,26
182,32,Male,Pants,Clothing,61,Massachusetts,Northeast,M,Beige,Summer,4.7,Yes,Next Day Air,4,Bank Transfer,Weekly,52
183,38,Male,Gloves,Accessories,96,Alabama,South,XL,Purple,Summer,2.8,Yes,Store Pickup,10,Debit Card,Annually,1
184,58,Male,Skirt,Clothing,29,Ohio,Midwest,XL,Beige,Spring,3.6,Yes,2-Day Shipping,26,Credit Card,Weekly,52
185,32,Male,Sneakers,Footwear,33,Hawaii,West,L,Cyan,Spring,3,Yes,Express,40,Cash,Fortnightly,26
186,46,Male,T-shirt,Clothing,32,Wisconsin,Midwest,XL,Silver,Summer,4.5,Yes,Store Pickup,34,Bank Transfer,Fortnightly,26
187,39,Male,Backpack,Accessories,56,Minnesota,Midwest,S,Lavender,Summer,2.9,Yes,Standard,31,Debit Card,Annually,1
188,19,Male,Shoes,Footwear,94,Georgia,South,S,Purple,Spring,3.3,Yes,Store Pickup,1,Bank Transfer,Bi-Weekly,104
189,50,Male,Hoodie,Clothing,53,Arkansas,South,M,Pink,Spring,3.1,Yes,Express,5,Bank Transfer,Bi-Weekly,104
190,36,Male,Blouse,Clothing,82,West Virginia,South,M,Maroon,Fall,4.4,Yes,Next Day Air,4,Credit Card,Weekly,52
191,65,Male,Coat,Outerwear,70,Indiana,Midwest,XL,Beige,Fall,3,Yes,Free Shipping,48,Venmo,Quarterly,4
192,64,Male,Hat,Accessories,76,Utah,West,M,Gray,Fall,3.9,Yes,Free Shipping,29,Cash,Quarterly,4
193,46,Male,Shoes,Footwear,29,Nebraska,Midwest,L,Turquoise,Summer,2.9,Yes,Express,12,PayPal,Bi-Weekly,104
194,36,Male,Belt,Accessories,100,North Dakota,Midwest,S,Silver,Fall,3,Yes,Standard,29,Venmo,Annually,1
195,51,Male,Backpack,Accessories,94,Missouri,Midwest,M,Olive,Spring,3.1,Yes,Express,15,Debit Card,Quarterly,4
196,51,Male,Jacket,Outerwear,25,New York,Northeast,M,Magenta,Fall,4.3,Yes,Free Shipping,34,Credit Card,Monthly,12
197,38,Male,Boots,Footwear,88,Washington,West,M,Lavender,Summer,3.9,Yes,Next Day Air,41,Credit Card,Fortnightly,26
198,59,Male,Scarf,Accessories,78,South Carolina,South,M,Black,Fall,3.2,Yes,2-Day Shipping,41,Credit Card,Monthly,12
199,57,Male,Jewelry,Accessories,45,Utah,West,M,Turquoise,Winter,4.8,Yes,Standard,39,Credit Card,Fortnightly,26
200,54,Male,Hat,Accessories,73,Idaho,West,XL,Green,Summer,3.8,Yes,Express,32,Cash,Weekly,52
201,25,Male,Dress,Clothing,61,Pennsylvania,Northeast,S,Teal,Summer,3.3,Yes,Next Day Air,29,Venmo,Monthly,12
202,69,Male,Blouse,Clothing,22,Missouri,Midwest,S,Beige,Fall,4.3,Yes,Free Shipping,15,Bank Transfer,Annually,1
203,57,Male,Hat,Accessories,38,Nebraska,Midwest,L,Magenta,Spring,2.7,Yes,Express,33,Venmo,Annually,1
204,70,Male,Scarf,Accessories,38,Indiana,Midwest,S,Yellow,Fall,3.2,Yes,Next Day Air,18,Bank Transfer,Weekly,52
205,24,Male,Sneakers,Footwear,100,Arizona,West,M,Yellow,Fall,4,Yes,Store Pickup,35,Cash,Bi-Weekly,104
